,Title,Artist,Year,Count
534,I Love You Always Forever,Donna Lewis,1997,13
535,I Love You Always Forever,Donna Lewis,1996,28
536,If We Fall In Love Tonight,Rod Stewart,1997,13
537,If We Fall In Love Tonight,Rod Stewart,1996,7
538,"You Must Love Me (From ""Evita"")",Madonna,1997,13
539,"You Must Love Me (From ""Evita"")",Madonna,1996,7
540,When You Love A Woman,Journey,1997,12
541,When You Love A Woman,Journey,1996,10
542,I'm Still In Love With You,New Edition,1997,12
543,I'm Still In Love With You,New Edition,1996,8
544,Without Love,Donna Lewis,1997,12
545,Without Love,Donna Lewis,1996,3
546,Colour Of Love,Amber,1997,10
547,This Is For The Lover In You,"Babyface Featuring LL Cool J, Howard Hewett, Jody Watley & Jeffrey Daniels",1997,10
548,This Is For The Lover In You,"Babyface Featuring LL Cool J, Howard Hewett, Jody Watley & Jeffrey Daniels",1996,10
549,I Fell In Love,Rockell,1997,10
550,I Fell In Love,Rockell,1996,8
551,You Don't Have To Love Me,Monifah,1997,9
552,I Luv U Baby,The Original,1997,5
553,I Luv U Baby,The Original,1996,11
554,"What's Love Got To Do With It (From ""Supercop"")",Warren G Featuring Adina Howard,1997,4
555,"What's Love Got To Do With It (From ""Supercop"")",Warren G Featuring Adina Howard,1996,15
556,Floatin' On Your Love,The Isley Brothers Featuring Angela Winbush,1997,4
557,Floatin' On Your Love,The Isley Brothers Featuring Angela Winbush,1996,14
558,I Don't Need Your Love,Angelina,1996,11
559,Your Secret Love,Luther Vandross,1996,13
560,How Do U Want It/California Love,2Pac Featuring K-Ci And JoJo,1996,24
561,"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion,1996,33
562,Why I Love You So Much/Ain't Nobody,Monica,1996,20
563,Baby Luv,Groove Theory,1996,11
564,Just Because I Love You,Lina Santiago,1996,8
565,Fastlove,George Michael,1996,19
566,I'll Never Stop Loving You,J'Son,1996,16
567,Things We Do For Love,Horace Brown,1996,1
568,Be My Lover,La Bouche,1996,30
569,Be My Lover,La Bouche,1995,8
570,For The Love Of You,Jordan Hill,1996,8
571,Your Loving Arms,Billie Ray Martin,1996,13
572,Your Loving Arms,Billie Ray Martin,1995,10
573,"A Thin Line Between Love & Hate (From ""A Thin Line..."")",H-Town,1996,20
574,Who Do U Love,Deborah Cox,1996,20
575,Lucky Love,Ace Of Base,1996,17
576,Feels So Good (Show Me Your Love),Lina Santiago,1996,20
577,Love Don't Live Here Anymore,Madonna,1996,8
578,Only Love (The Ballad Of Sleeping Beauty),Sophie B. Hawkins,1996,11
579,Real Love,The Beatles,1996,7
580,"Beware Of My Crew (From ""A Thin Line Between Love And Hate"")",L.B.C. Crew Feat. Tray D & South Sentrell,1996,17
581,"Beware Of My Crew (From ""A Thin Line Between Love And Hate"")",L.B.C. Crew Feat. Tray D & South Sentrell,1995,3
582,Hey Lover,LL Cool J,1996,14
583,Hey Lover,LL Cool J,1995,7
584,Love U 4 Life,Jodeci,1996,11
585,Love U 4 Life,Jodeci,1995,9
586,When Love & Hate Collide,Def Leppard,1996,9
587,When Love & Hate Collide,Def Leppard,1995,5
588,Automatic Lover (Call For Love),Real McCoy,1996,8
589,Automatic Lover (Call For Love),Real McCoy,1995,11
590,(If You're Not In It For Love) I'm Outta Here!/The Woman In Me,Shania Twain,1996,6
591,(If You're Not In It For Love) I'm Outta Here!/The Woman In Me,Shania Twain,1995,9
592,"I Like It, I Love It",Tim McGraw,1996,1
593,"I Like It, I Love It",Tim McGraw,1995,19
594,I Can Love You Like That,All-4-One,1995,29
595,Someone To Love,Jon B. Featuring Babyface,1995,30
596,You Used To Love Me,Faith Evans,1995,20
597,Come And Get Your Love,Real McCoy,1995,20
598,I Love You/You Bring Me Joy,Mary J. Blige,1995,19
599,This Ain't A Love Song,Bon Jovi,1995,20
600,We Must Be In Love,Pure Soul,1995,11
601,Have You Ever Really Loved A Woman?,Bryan Adams,1995,24
602,Not On Your Love,Jeff Carson,1995,2
603,I Wanna Love Like That,Tony Thompson,1995,16
604,My Love Is For Real,Paula Abdul,1995,13
605,"Crazy Love (From ""Jason's Lyric"")",Brian McKnight,1995,20
606,So In Love With You,U.N.V.,1995,13
607,How Deep Is Your Love,Portrait,1995,5
608,Can't Stop Lovin' You,Van Halen,1995,20
609,"No More ""I Love You's""",Annie Lennox,1995,21
610,Can't Stop My Heart From Loving You (The Rain Song),Aaron Neville,1995,1
611,Bizarre Love Triangle,New Order,1995,2
612,Crimson And Clover,SF Spanish Fly,1995,6
613,The Way That You Love,Vanessa Williams,1995,7
614,If You Love Me,Brownstone,1995,23
615,If You Love Me,Brownstone,1994,4
616,Everlasting Love,Gloria Estefan,1995,20
617,For Your Love,Stevie Wonder,1995,14
618,1-Luv,E-40 (Featuring Leviti),1995,14
619,Foe Tha Love Of $,Bone Thugs-N-Harmony Featuring Eazy-E,1995,14
620,Love The One You're With/Going In Circles,Luther Vandross,1995,2
621,House Of Love,Amy Grant With Vince Gill,1995,15
622,House Of Love,Amy Grant With Vince Gill,1994,6
623,Sour Times (Nobody Loves Me),Portishead,1995,9
624,100% Pure Love,Crystal Waters,1995,13
625,100% Pure Love,Crystal Waters,1994,32
626,I'll Make Love To You,Boyz II Men,1995,12
627,I'll Make Love To You,Boyz II Men,1994,21
628,You Want This/70's Love Groove,Janet Jackson,1995,11
629,You Want This/70's Love Groove,Janet Jackson,1994,11
630,Till You Love Me,Reba McEntire,1995,7
631,Till You Love Me,Reba McEntire,1994,3
632,Endless Love,Luther Vandross & Mariah Carey,1995,3
633,Endless Love,Luther Vandross & Mariah Carey,1994,17
634,At Your Best (You Are Love),Aaliyah,1995,2
635,At Your Best (You Are Love),Aaliyah,1994,18
636,Love Is All Around,Wet Wet Wet,1994,20
637,The Way She Loves Me,Richard Marx,1994,19
638,Hit By Love,CeCe Peniston,1994,3
639,"Can You Feel The Love Tonight (From ""The Lion King"")",Elton John,1994,26
640,Nuttin' But Love,Heavy D & The Boyz,1994,20
641,Your Love Is A...,Whitehead Bros.,1994,10
642,Weekend Love,Queen Latifah,1994,13
643,The Right Kinda Lover,Patti LaBelle,1994,16
644,Sending My Love,Zhane,1994,20
645,Your Love Is So Divine,Miranda,1994,14
646,Love Is Strong,The Rolling Stones,1994,5
647,Sweet Sensual Love,Big Mountain,1994,6
648,"Baby I Love Your Way (From ""Reality Bites"")",Big Mountain,1994,28
649,When I Give My Love,Keith Sweat,1994,4
650,Maybe Love Will Change Your Mind,Stevie Nicks,1994,10
651,I Need Your Love,Boston,1994,10
652,Part Time Lover/I'm Still In Love With You,H-Town/Al B. Sure!,1994,16
653,Bizarre Love Triangle,FRENTE!,1994,15
654,Love On My Mind,Xscape,1994,15
655,Love Sneakin' Up On You,Bonnie Raitt,1994,20
656,The Power Of Love,Celine Dion,1994,28
657,The Power Of Love,Celine Dion,1993,5
658,Because Of Love,Janet Jackson,1994,20
659,So Much In Love,All-4-One,1994,22
660,"Gonna Love You Right (From ""Sugar Hill"")",After 7,1994,6
661,"You Don't Love Me (No, No, No)",Dawn Penn,1994,12
662,In Walked Love,Expose,1994,6
663,My Love,Little Texas,1994,10
664,All For Love,Bryan Adams/Rod Stewart/Sting,1994,17
665,All For Love,Bryan Adams/Rod Stewart/Sting,1993,5
666,Said I Loved You...But I Lied,Michael Bolton,1994,16
667,Said I Loved You...But I Lied,Michael Bolton,1993,8
668,I'll Be Loving You,Collage,1994,15
669,I'll Be Loving You,Collage,1993,5
670,"A Deeper Love (From ""Sister Act 2"")",Aretha Franklin,1994,9
671,Life (Everybody Needs Somebody To Love),Haddaway,1994,15
672,Life (Everybody Needs Somebody To Love),Haddaway,1993,1
673,Ain't Seen Love Like That,Mr. Big,1994,6
674,I Never Knew Love,Doug Stone,1994,9
675,Runaway Love,Johnny O,1994,5
676,Dreamlover,Mariah Carey,1994,8
677,Dreamlover,Mariah Carey,1993,21
678,What Is Love,Haddaway,1994,8
679,What Is Love,Haddaway,1993,18
680,I'd Do Anything For Love (But I Won't Do That),Meat Loaf,1994,7
681,I'd Do Anything For Love (But I Won't Do That),Meat Loaf,1993,15
682,True Love,Elton John & Kiki Dee,1994,7
683,True Love,Elton John & Kiki Dee,1993,5
684,"I Love Music (From ""Carlito's Way"")",Rozalla,1994,6
685,"I Love Music (From ""Carlito's Way"")",Rozalla,1993,1
686,I'm In Love,Lisa Keith,1994,3
687,Send Me A Lover,Taylor Dayne,1994,1
688,Send Me A Lover,Taylor Dayne,1993,13
689,Another Sad Love Song,Toni Braxton,1993,26
690,Love For Love,Robin S.,1993,19
691,Runaway Love,En Vogue Featuring FMOB,1993,10
692,Paying The Price Of Love,Bee Gees,1993,9
693,"Can't Help Falling In Love (From ""Sliver"")",UB40,1993,29
694,"When I Fall In Love (From ""Sleepless In Seattle"")",Celine Dion And Clive Griffin,1993,20
695,I'm In Luv,Joe,1993,13
696,Your Love Keeps Working On Me,Jody Watley,1993,2
697,"I Don't Wanna Fight (From ""What's Love Got To Do With It"")",Tina Turner,1993,24
698,Can't Get Enough Of Your Love,Taylor Dayne,1993,20
699,Show Me Love,Robin S.,1993,28
700,Loving Arms,Darden Smith,1993,2
701,That's The Way Love Goes,Janet Jackson,1993,23
702,World (The Price Of Love),New Order,1993,4
703,Love No Limit,Mary J. Blige,1993,16
704,"Unconditional Love (From ""Menace II Society"")",Hi-Five,1993,4
705,"Love Is (From ""Beverly Hills, 90210"")",Vanessa Williams/Brian McKnight,1993,28
706,I Love The Way You Love Me,John Michael Montgomery,1993,13
707,Nothin' My Love Can't Fix,Joey Lawrence,1993,20
708,Love Don't Love You,En Vogue,1993,16
709,Somebody To Love,George Michael & Queen,1993,9
710,Love U More,Sunscreem,1993,19
711,Falling In Love,New Born,1993,2
712,No Ordinary Love,Sade,1993,19
713,No Ordinary Love,Sade,1992,8
714,Give Him A Love He Can Feel,Tene Williams,1993,7
715,That's The Way Love Is,Bobby Brown,1993,9
716,That's What Love Can Do,Boy Krazy,1993,20
717,"The Right Kind Of Love (From ""Beverly Hills, 90210"")",Jeremy Jordan,1993,22
718,"The Right Kind Of Love (From ""Beverly Hills, 90210"")",Jeremy Jordan,1992,3
719,Forever In Love,Kenny G,1993,21
720,Forever In Love,Kenny G,1992,2
721,What You Won't Do For Love,Go West,1993,11
722,La La Love,Bobby Ross Avila,1993,3
723,Shoop Shoop (Never Stop Givin' You Love),Michael Cooper,1993,9
724,Somebody Love Me,Michael W. Smith,1993,7
725,Save Your Love,Bad Boys Blue,1993,7
726,You're The Love Of My Life/The Love I Lost,Sybil,1993,2
727,If I Ever Fall In Love,Shai,1993,16
728,If I Ever Fall In Love,Shai,1992,11
729,Love Me Or Leave Me Alone,Brand Nubian,1993,3
730,Love Me The Right Way,Rapination & Kym Mazelle,1993,4
731,Real Love,Mary J. Blige,1993,13
732,Real Love,Mary J. Blige,1992,18
733,"Love Shoulda Brought You Home (From ""Boomerang"")",Toni Braxton,1993,13
734,"Love Shoulda Brought You Home (From ""Boomerang"")",Toni Braxton,1992,7
735,I Love You Period,Dan Baird,1993,12
736,I Love You Period,Dan Baird,1992,4
737,Stand Up (Kick Love Into Motion),Def Leppard,1993,12
738,Stand Up (Kick Love Into Motion),Def Leppard,1992,3
739,Love Can Move Mountains,Celine Dion,1993,11
740,Love Can Move Mountains,Celine Dion,1992,6
741,It's Gonna Be A Lovely Day,The S.O.U.L. S.Y.S.T.E.M.,1993,11
742,It's Gonna Be A Lovely Day,The S.O.U.L. S.Y.S.T.E.M.,1992,5
743,Love's Taken Over,Chante Moore,1993,10
744,Love's Taken Over,Chante Moore,1992,1
745,To Love Somebody,Michael Bolton,1993,9
746,To Love Somebody,Michael Bolton,1992,11
747,Love Is On The Way,Saigon Kick,1993,5
748,Love Is On The Way,Saigon Kick,1992,17
749,Sometimes Love Just Ain't Enough,Patty Smyth With Don Henley,1993,4
750,Sometimes Love Just Ain't Enough,Patty Smyth With Don Henley,1992,20
751,"Forever Love (From ""Mo' Money"")",Color Me Badd,1993,4
752,"Forever Love (From ""Mo' Money"")",Color Me Badd,1992,14
753,Crazy Love,CeCe Peniston,1993,1
754,Crazy Love,CeCe Peniston,1992,1
755,Where Does That Leave Love,George LaMond,1992,20
756,"I Wanna Love You (From ""Class Act"")",Jade,1992,21
757,"I Wanna Make Love To You (From ""Innocent Blood"")",Rhythm Syndicate,1992,8
758,Friday I'm In Love,The Cure,1992,20
759,"Mr. Loverman (From ""Deep Cover"")",Shabba Ranks,1992,19
760,My Lovin' (You're Never Gonna Get It),En Vogue,1992,30
761,Real Love,Slaughter,1992,8
762,"Money Can't Buy You Love (From ""Mo' Money"")",Ralph Tresvant,1992,12
763,Honey Love,R. Kelly & Public Announcement,1992,19
764,Damn I Wish I Was Your Lover,Sophie B. Hawkins,1992,21
765,Make Love Like A Man,Def Leppard,1992,10
766,Helluva,Brotherhood Creed,1992,18
767,Who's Got Your Love,Nyasia,1992,6
768,"Full Term Love (From ""Class Act"")",Monie Love,1992,1
769,Fall In Love Again,Eddie Money,1992,11
770,Faces Of Love,Nia Peeples,1992,4
771,I Need Love,Olivia Newton-John,1992,2
772,Love Me,Tracie Spencer,1992,15
773,Love You All My Lifetime,Chaka Khan,1992,9
774,We Got A Love Thang,CeCe Peniston,1992,20
775,All 4 Love,Color Me Badd,1992,20
776,All 4 Love,Color Me Badd,1991,8
777,I Love Your Smile,Shanice,1992,20
778,I Love Your Smile,Shanice,1991,6
779,Until Your Love Comes Back Around,RTZ,1992,18
780,It's Not A Love Thing,Geoffrey Williams,1992,9
781,A Deeper Love/Pride In The Name Of Love,Clivilles & Cole,1992,17
782,I Can't Make You Love Me,Bonnie Raitt,1992,14
783,I Can't Make You Love Me,Bonnie Raitt,1991,6
784,Everlasting Love,Tony Terry,1992,10
785,Love Me All Up,Stacy Earl,1992,12
786,Love Me All Up,Stacy Earl,1991,7
787,Hold On (Tighter To Love),Clubland,1992,12
788,Peace Of Mind (Love Goes On),One 2 One,1992,2
789,Only Love Can Break Your Heart,St. Etienne,1992,2
790,I've Got A Lot To Learn About Love,The Storm,1992,10
791,I've Got A Lot To Learn About Love,The Storm,1991,10
792,Live For Loving You,Gloria Estefan,1992,8
793,Live For Loving You,Gloria Estefan,1991,12
794,When A Man Loves A Woman,Michael Bolton,1992,8
795,When A Man Loves A Woman,Michael Bolton,1991,12
796,Blinded By Love,Rhythm Syndicate,1992,6
797,That's What Love Is For,Amy Grant,1992,6
798,That's What Love Is For,Amy Grant,1991,14
799,Just A Touch Of Love,C+C Music Factory Presents Zelma Davis,1992,6
800,Just A Touch Of Love,C+C Music Factory Presents Zelma Davis,1991,8
801,Love Crazy,Atlantic Starr,1992,2
802,Love Crazy,Atlantic Starr,1991,6
803,What Time Is Love?,The KLF,1992,2
804,What Time Is Love?,The KLF,1991,10
805,Love Of A Lifetime,Firehouse,1991,22
806,Now That We Found Love,Heavy D & The Boyz,1991,22
807,Love. . .Thy Will Be Done,Martika,1991,15
808,"Time, Love And Tenderness",Michael Bolton,1991,18
809,The Real Love,Bob Seger & The Silver Bullet Band,1991,11
810,Louder Than Love,TKA,1991,11
811,Till Somebody Loves You,Henry Lee Summer,1991,10
812,Got A Love For You,Jomanda,1991,15
813,Love And Understanding,Cher,1991,15
814,That's The Way Love Goes,Young M.C.,1991,7
815,When Love Cries,Donna Summer,1991,5
816,Love On A Rooftop,Desmond Child,1991,12
817,Power Of Love/Love Power,Luther Vandross,1991,18
818,Dirty Love,Thunder,1991,13
819,A Better Love,Londonbeat,1991,15
820,Your Love,Keith Sweat,1991,9
821,Love Desire,Sandee,1991,11
822,Love Is A Wonderful Thing,Michael Bolton,1991,17
823,Borrowed Love,Bingo Boys,1991,6
824,Does Anybody Really Fall In Love Anymore?,Kane Roberts,1991,13
825,Love At First Sight,Styx,1991,16
826,Love Gets Rough,Troy Newman,1991,4
827,Dream Lover,The Rebel Pebbles,1991,10
828,Save Some Love,Keedy,1991,15
829,I Don't Want To Lose Your Love,B Angie B,1991,8
830,You're In Love,Wilson Phillips,1991,19
831,Another Like My Lover,Jasmine Guy,1991,10
832,Waiting For Love,Alias,1991,17
833,Love Me Forever Or Love Me Not,Trilogy,1991,7
834,Temple Of Love,Harriet,1991,11
835,I'll Give All My Love To You,Keith Sweat,1991,15
836,I'll Give All My Love To You,Keith Sweat,1990,5
837,Love Will Never Do (Without You),Janet Jackson,1991,15
838,Love Will Never Do (Without You),Janet Jackson,1990,7
839,I Love You,Vanilla Ice,1991,7
840,Love Makes Things Happen,Pebbles,1991,14
841,Love Makes Things Happen,Pebbles,1990,5
842,I'm Not In Love,Will To Power,1991,11
843,I'm Not In Love,Will To Power,1990,7
844,Don't Hold Back Your Love,Daryl Hall John Oates,1991,11
845,Power Of Love,Deee-Lite,1991,10
846,Love Takes Time,Mariah Carey,1991,10
847,Love Takes Time,Mariah Carey,1990,16
848,Because I Love You (The Postman Song),Stevie B,1991,10
849,Because I Love You (The Postman Song),Stevie B,1990,13
850,Justify My Love,Madonna,1991,9
851,Justify My Love,Madonna,1990,7
852,You Gotta Love Someone,Elton John,1991,7
853,You Gotta Love Someone,Elton John,1990,6
854,Does She Love That Man?,Breathe Featuring David Glasper,1991,6
855,Does She Love That Man?,Breathe Featuring David Glasper,1990,7
856,My Love Is A Fire,Donny Osmond,1991,4
857,My Love Is A Fire,Donny Osmond,1990,12
858,I Found Love,The Party,1991,2
859,I Found Love,The Party,1990,9
860,(Can't Live Without Your) Love And Affection,Nelson,1990,26
861,Love Me Just For Me,Special Generation,1990,4
862,Love Is A Killer,Vixen,1990,6
863,Love Is The Ritual,Styx,1990,6
864,Love Is A Rock,REO Speedwagon,1990,6
865,I Don't Love You Anymore,The London Quireboys,1990,9
866,Vision Of Love,Mariah Carey,1990,22
867,Slow Love,Doc Box & B. Fresh,1990,15
868,How Much Love,Vixen,1990,12
869,Can't Stop Falling Into Love,Cheap Trick,1990,14
870,Violence Of Summer (Love's Taking Over),Duran Duran,1990,7
871,"Cradle Of Love (From ""Ford Fairlane"")",Billy Idol,1990,24
872,Love And Emotion,Stevie B,1990,15
873,Could This Be Love,Seduction,1990,18
874,First True Love,Tiana,1990,12
875,"It Must Have Been Love (From ""Pretty Woman"")",Roxette,1990,25
876,Stranger To Love,St. Paul,1990,11
877,Sending All My Love,Linear,1990,27
878,Don't You Love Me,49-ers,1990,9
879,All I Wanna Do Is Make Love To You,Heart,1990,20
880,Love Is,Alannah Myles,1990,13
881,Let Me Be Your Lover,The U-Krew,1990,8
882,Dare To Fall In Love,Brent Bourgeois,1990,13
883,Don't Wanna Fall In Love,Jane Child,1990,21
884,How Can We Be Lovers,Michael Bolton,1990,18
885,Love Child,Sweet Sensation,1990,15
886,Love Will Lead You Back,Taylor Dayne,1990,20
887,"Whole Wide World (From ""True Love"")",A'me Lorain,1990,20
888,A Little Love,Corey Hart,1990,11
889,"How 'Bout Us (From ""True Love"")",Grayson Hugh & Betty Wright,1990,7
890,C'mon And Get My Love,D-Mob Introducing Cathy Dennis,1990,18
891,C'mon And Get My Love,D-Mob Introducing Cathy Dennis,1989,3
892,Love Me For Life,Stevie B,1990,14
893,True Blue Love,Lou Gramm,1990,11
894,Price Of Love,Bad English,1990,17
895,Price Of Love,Bad English,1989,2
896,The Deeper The Love,Whitesnake,1990,14
897,House Of Broken Love,Great White,1990,5
898,Whatcha Gonna Do With My Lovin',Inner City,1990,6
899,Precious Love,Jody Watley,1990,3
900,Real Love,Skyy,1990,12
901,Bad Love,Eric Clapton,1990,5
902,Love Song,Tesla,1990,13
903,Love Song,Tesla,1989,14
904,Got To Have Your Love,Mantronix Featuring Wondress,1990,4
905,Tender Lover,Babyface,1990,10
906,Tender Lover,Babyface,1989,7
907,Love Shack,The B-52s,1990,9
908,Love Shack,The B-52s,1989,18
909,Let Love Rule,Lenny Kravitz,1990,4
910,"Timeless Love (From ""Shocker"")",Saraya,1990,5
911,(It's Just) The Way That You Love Me,Paula Abdul,1990,5
912,(It's Just) The Way That You Love Me,Paula Abdul,1989,15
913,(It's Just) The Way That You Love Me,Paula Abdul,1988,5
914,Fool For Your Loving,Whitesnake,1990,5
915,Fool For Your Loving,Whitesnake,1989,9
916,Fool For Your Loving,Whitesnake,1980,8
917,Gimme Your Good Lovin',Diving For Pearls,1990,2
918,Gimme Your Good Lovin',Diving For Pearls,1989,4
919,Love In An Elevator,Aerosmith,1989,16
920,Radar Love,White Lion,1989,13
921,Call It Love,Poco,1989,16
922,Sowing The Seeds Of Love,Tears For Fears,1989,15
923,Love Song,The Cure,1989,17
924,(You're My One And Only) True Love,Seduction,1989,21
925,The Same Love,The Jets,1989,6
926,I Love The Bass,Bardeux,1989,10
927,Shower Me With Your Love,Surface,1989,19
928,Love Cries,Stage Dolls,1989,13
929,I Don't Want A Lover,Texas,1989,6
930,Need A Little Taste Of Love,The Doobie Brothers,1989,9
931,Lay All Your Love On Me,Information Society,1989,8
932,Don't Say You Love Me,Billy Squier,1989,15
933,Love's About to Change My Heart,Donna Summer,1989,3
934,Who Do You Give Your Love To?,Michael Morales,1989,19
935,Love Has Taken Its Toll,Saraya,1989,9
936,Cover Of Love,Michael Damian,1989,12
937,Nature Of Love,Waterfront,1989,5
938,I'll Be Loving You (Forever),New Kids On The Block,1989,21
939,Calling It Love,Animotion,1989,9
940,"After All (Love Theme From ""Chances Are"")",Cher & Peter Cetera,1989,20
941,Love Train,Holly Johnson,1989,6
942,Soldier Of Love,Donny Osmond,1989,18
943,Everlasting Love,Howard Jones,1989,19
944,Real Love,Jody Watley,1989,18
945,Giving Up On Love,Rick Astley,1989,10
946,For The Love Of Money,BulletBoys,1989,6
947,When Love Comes To Town,U2 With B.B. King,1989,7
948,The Love In Your Eyes,Eddie Money,1989,18
949,It's Only Love,Simply Red,1989,9
950,The Lover In Me,Sheena Easton,1989,16
951,The Lover In Me,Sheena Easton,1988,9
952,The Way You Love Me,Karyn White,1989,13
953,The Way You Love Me,Karyn White,1988,12
954,Falling Out Of Love,Ivan Neville,1989,3
955,Put A Little Love In Your Heart,Annie Lennox & Al Green,1989,8
956,Put A Little Love In Your Heart,Annie Lennox & Al Green,1988,9
957,I Wanna Be Loved,House Of Lords,1989,7
958,"Baby, I Love Your Way/Freebird Medley",Will To Power,1989,7
959,"Baby, I Love Your Way/Freebird Medley",Will To Power,1988,17
960,Groovy Kind Of Love,Phil Collins,1989,7
961,Groovy Kind Of Love,Phil Collins,1988,18
962,I Don't Want Your Love,Duran Duran,1989,4
963,I Don't Want Your Love,Duran Duran,1988,12
964,Spy In The House Of Love,Was (Not Was),1989,3
965,Spy In The House Of Love,Was (Not Was),1988,14
966,Symptoms Of True Love,Tracie Spencer,1989,2
967,Symptoms Of True Love,Tracie Spencer,1988,14
968,Love Bites,Def Leppard,1989,2
969,Love Bites,Def Leppard,1988,21
970,Another Lover,Giant Steps,1989,2
971,Another Lover,Giant Steps,1988,20
972,Till I Loved You,Barbra Streisand & Don Johnson,1989,1
973,Till I Loved You,Barbra Streisand & Don Johnson,1988,11
974,Is It Love,J.J. Fad,1989,1
975,Is It Love,J.J. Fad,1988,4
976,I'll Always Love You,Taylor Dayne,1988,30
977,Any Love,Luther Vandross,1988,13
978,I Hate Myself For Loving You,Joan Jett & the Blackhearts,1988,26
979,Didn't Know It Was Love,Survivor,1988,10
980,"Love, Truth & Honesty",Bananarama,1988,3
981,Chains Of Love,Erasure,1988,20
982,Put This Love To The Test,Jon Astley,1988,8
983,True Love,Glenn Frey,1988,15
984,Got A New Love,Good Question,1988,5
985,If It Isn't Love,New Edition,1988,21
986,Strangelove,Depeche Mode,1988,9
987,Strangelove,Depeche Mode,1987,6
988,Spring Love (Come Back To Me),Stevie B,1988,18
989,When It's Love,Van Halen,1988,19
990,I Did It For Love,Night Ranger,1988,5
991,I Don't Wanna Live Without Your Love,Chicago,1988,21
992,Long And Lasting Love (Once In A Lifetime),Glenn Medeiros,1988,10
993,Love Will Save The Day,Whitney Houston,1988,16
994,Long Way To Love,Britny Fox,1988,2
995,Do You Love Me,The Contours,1988,16
996,Do You Love Me,The Contours,1962,18
997,The Colour Of Love,Billy Ocean,1988,16
998,Love Changes (Everything),Climie Fisher,1988,18
999,Sendin' All My Love,The Jets,1988,4
1000,Naughty Girls (Need Love Too),Samantha Fox,1988,27
1001,When I Fall In Love,Natalie Cole,1988,1
1002,Too Much Ain't Enough Love,Jimmy Barnes,1988,2
1003,Rhythm Of Love,Scorpions,1988,6
1004,Wait On Love,Michael Bolton,1988,6
1005,Dreamin' Of Love,Stevie B,1988,10
1006,My Love,Julio Iglesias Featuring Stevie Wonder,1988,5
1007,Prove Your Love,Taylor Dayne,1988,18
1008,Love Struck,Jesse Johnson,1988,8
1009,Some Kind Of Lover,Jody Watley,1988,17
1010,Love In The First Degree,Bananarama,1988,10
1011,Love Changes Everything,Honeymoon Suite,1988,2
1012,Presence Of Love,The Alarm,1988,6
1013,Never Knew Love Like This,Alexander O'Neal Featuring Cherrelle,1988,14
1014,Give Me All Your Love,Whitesnake,1988,11
1015,Never Thought (That I Could Love),Dan Hill,1988,17
1016,Never Thought (That I Could Love),Dan Hill,1987,3
1017,Love Overboard,Gladys Knight And The Pips,1988,14
1018,Save Your Love,Great White,1988,12
1019,I Live For Your Love,Natalie Cole,1988,14
1020,I Live For Your Love,Natalie Cole,1987,8
1021,Tunnel Of Love,Bruce Springsteen,1988,12
1022,Tunnel Of Love,Bruce Springsteen,1987,4
1023,Rhythm Of Love,Yes,1988,10
1024,Rhythm Of Love,Yes,1987,2
1025,Is This Love,Whitesnake,1988,9
1026,Is This Love,Whitesnake,1987,10
1027,Shake Your Love,Debbie Gibson,1988,9
1028,Shake Your Love,Debbie Gibson,1987,13
1029,That's What Love Is All About,Michael Bolton,1988,8
1030,That's What Love Is All About,Michael Bolton,1987,17
1031,The Motion Of Love,Gene Loves Jezebel,1988,3
1032,Power Of Love,Laura Branigan,1988,8
1033,Power Of Love,Laura Branigan,1987,10
1034,Lover's Lane,Georgio,1988,8
1035,Lover's Lane,Georgio,1987,4
1036,Love Will Find A Way,Yes,1988,6
1037,Love Will Find A Way,Yes,1987,13
1038,The One I Love,R.E.M.,1988,5
1039,The One I Love,R.E.M.,1987,15
1040,I've Been In Love Before,Cutting Crew,1988,4
1041,I've Been In Love Before,Cutting Crew,1987,17
1042,Someone To Love Me For Me,Lisa Lisa And Cult Jam Featuring Full Force,1988,3
1043,Someone To Love Me For Me,Lisa Lisa And Cult Jam Featuring Full Force,1987,7
1044,Don't Make Me Wait For Love,Kenny G. (Vocal By Lenny Williams),1988,1
1045,Don't Make Me Wait For Love,Kenny G. (Vocal By Lenny Williams),1987,18
1046,Love Is Contagious,Taja Sevelle,1987,10
1047,One Lover At A Time,Atlantic Starr,1987,13
1048,Victim Of Love,Bryan Adams,1987,12
1049,I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett,1987,14
1050,Love Is A House,Force M.D.'s,1987,9
1051,I Need Love,LL Cool J,1987,13
1052,Making Love In The Rain,Herb Alpert,1987,14
1053,Love Power,Dionne Warwick & Jeffrey Osborne,1987,14
1054,These Times Are Hard For Lovers,John Waite,1987,16
1055,In Love With Love,Debbie Harry,1987,7
1056,I'll Still Be Loving You,Restless Heart,1987,18
1057,Nothing's Gonna Change My Love For You,Glenn Medeiros,1987,25
1058,Spring Love,The Cover Girls,1987,1
1059,Lessons In Love,Level 42,1987,18
1060,Big Love,Fleetwood Mac,1987,16
1061,Looking For A New Love,Jody Watley,1987,19
1062,Weapons Of Love,The Truth,1987,9
1063,Primitive Love Rites,Mondo Rock,1987,6
1064,Same Ole Love (365 Days A Year),Anita Baker,1987,14
1065,There's Nothing Better Than Love,Luther Vandross with Gregory Hines,1987,14
1066,Get That Love,Thompson Twins,1987,11
1067,Stone Love,Kool & The Gang,1987,18
