,Title,Artist,Year,Count
123,Love Sosa,Chief Keef,2012,1
124,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,2013,8
125,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,2012,20
126,Let Me Love You (Until You Learn To Love Yourself),Glee Cast,2013,1
127,As Long As You Love Me (Acoustic),Justin Bieber,2013,1
128,As Long As You Love Me,Justin Bieber Featuring Big Sean,2013,3
129,As Long As You Love Me,Justin Bieber Featuring Big Sean,2012,26
130,I Want To Know What Love Is,Terry McDermott,2012,1
131,Hard To Love,Lee Brice,2012,23
132,Lovin' You Is Fun,Easton Corbin,2012,20
133,Lover's Eyes,Mumford & Sons,2012,2
134,Lover Of The Light,Mumford & Sons,2012,1
135,Enough Of No Love,Keyshia Cole Featuring Lil Wayne,2012,9
136,Time Is Love,Josh Turner,2012,25
137,Oh Love,Green Day,2012,4
138,Crew Love,Drake Featuring The Weeknd,2012,20
139,We Found Love,Rihanna Featuring Calvin Harris,2012,28
140,We Found Love,Rihanna Featuring Calvin Harris,2011,13
141,International Love,Pitbull Featuring Chris Brown,2012,19
142,International Love,Pitbull Featuring Chris Brown,2011,7
143,Sweet Love,Chris Brown,2012,1
144,Sex Ain't Better Than Love,Trey Songz,2012,6
145,Love This Life,T.I.,2012,1
146,Love On Top,Beyonce,2012,15
147,Love On Top,Beyonce,2011,5
148,Love's Gonna Make It Alright,George Strait,2012,11
149,Give Me All Your Luvin',Madonna Featuring Nicki Minaj & M.I.A.,2012,6
150,Love You Like A Love Song,Selena Gomez & The Scene,2012,12
151,Love You Like A Love Song,Selena Gomez & The Scene,2011,26
152,I Will Always Love You,Whitney Houston,2012,3
153,I Will Always Love You,Whitney Houston,1993,19
154,I Will Always Love You,Whitney Houston,1992,7
155,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,2012,2
156,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,1987,18
157,Greatest Love Of All,Whitney Houston,2012,2
158,Greatest Love Of All,Whitney Houston,1986,18
